㑇	〔㑇・(㑳)〕
揿	〔揿・(撳)[搇]・撳〕
搀	〔搀・(攙)・攙〕
搁	〔搁・(擱)・擱〕
搂	〔搂・(摟)・摟〕
搅	〔搅・(攪)・攪〕
搜	〔搜・[蒐]〕
携	〔携・[擕㩗㩦攜]〕
摄	〔摄・(攝)・攝〕
摅	〔摅・(攄)・攄〕
摆	〔摆・(擺|襬)・擺|襬〕
摈	〔摈・(擯)・擯〕
摊	〔摊・(攤)・攤〕
撄	〔撄・(攖)・攖〕
撑	〔撑・[撐]〕
撰	〔撰・[譔]〕
撵	〔撵・(攆)・攆〕
撷	〔撷・(擷)・擷〕
撸	〔撸・(擼)〕
撺	〔撺・(攛)・攛〕
操	〔操・[𢮥]〕
擞	〔擞・(擻)・擻〕
攒	〔攒・(攢)・攢〕
效	〔效・[効傚]〕
敌	〔敌・(敵)・敵〕
救	〔救・[捄]〕
敕	〔敕・[勅勑]〕
敛	〔敛・(斂)[歛]・斂〕
散	〔散・[㪚]〕
敦	〔敦・[㪟]〕
数	〔数・(數)・數〕
斋	〔斋・(齋)[亝]・齋〕
斓	〔斓・(斕)・斕〕
斗	〔斗・(斗|鬥)[|鬦鬪鬭]・鬥〕
斤	〔斤・[觔]〕
斩	〔斩・(斬)・斬〕
斫	〔斫・[斮斲斵]〕
