裙	[帬裠]
禅	(禪)
谢	(謝)
谣	(謡)
谤	(謗)
谦	(謙)
属	(屬)
屡	(屢)
强	[強彊]
疏	[疎]
婿	[壻]
缅	(緬)
缆	(纜)
缉	(緝)
缎	(緞)
缓	(緩)
缔	(締)
缕	(縷)
骗	(騙)
编	(編)
骚	(騷)
缘	(緣)
鹉	(鵡)
瑰	[瓌]
魂	[䰟]
摄	(攝)
鼓	[皷]
摆	(擺|襬)
携	[擕㩗㩦攜]
摊	(攤)
勤	[懃]
靴	[鞾]
鹊	(鵲)
蓝	(藍)
幕	[幙]
蒙	(蒙|濛|懞|矇)
献	(獻)
榄	(欖)
楼	(樓)
概	[㮣]
赖	(賴)[頼]
酬	[酧詶醻]
碍	(礙)
碰	[掽踫]
碗	[㼝盌椀]
碌	[磟]
尴	(尷)
雾	(霧)
辐	(輻)
辑	(輯)
输	(輸)
频	(頻)
龄	(齡)
鉴	(鑒)[鍳鑑]
睹	[覩]
睬	[倸]
暖	[㬉煗煖]
暗	[晻闇]
照	[炤]
跷	(蹺)[蹻]
跺	[跥]
蜗	(蝸)
蜂	[䗬蠭]
置	[寘]
罪	[辠]
错	(錯)
锚	(錨)
锡	(錫)
锣	(鑼)
锤	(錘)[鎚]
锥	(錐)
锦	(錦)
键	(鍵)
锯	(鋸)
锰	(錳)
辞	(辭)[辤]
稚	[稺穉]
颓	(頽)[穨]
筹	(籌)
签	(簽|籤)
简	(簡)
毁	[燬譭]
愈	[瘉癒]
腻	(膩)
腮	[顋]
鹏	(鵬)
腾	(騰)
腿	[骽]
鲍	(鮑)
猿	[猨蝯]
颖	(穎)[頴]
触	(觸)
雏	(雛)
馍	(饃)[饝]
馏	(餾)
酱	(醬)
禀	[稟]
痹	[痺]
痴	[癡]
廉	[亷㢘]
韵	[韻]
誊	(謄)
粮	(糧)
数	(數)
满	(滿)
滤	(濾)
滥	(濫)
溪	[谿]
漓	(漓|灕)
溯	[泝遡]
滨	(濱)
滩	(灘)
慎	[昚]
誉	(譽)
窥	(窺)[闚]
寝	(寢)[寑]
谨	(謹)
裸	[躶臝]
谬	(謬)
群	[羣]
辟	(辟|闢)
叠	[㬪曡疊]
缚	(縛)
缝	(縫)
缠	(纏)
缤	(繽)
剿	[𠞰勦]
璃	[琍瓈]
赘	(贅)
墙	(墻)[牆]
蔑	(蔑|衊)
蔼	(藹)
熙	[𤋮熈]
槛	(檻)
榜	[牓]
榨	[搾]
歌	[謌]
酿	(釀)
碱	[堿鹻鹼]
愿	(願)
辖	(轄)
辗	(輾)
颗	(顆)
瞅	[𥄨矁]
嗽	[𠻳]
踊	(踴)
蜡	(蠟)
蝇	(蠅)
蝉	(蟬)
赚	(賺)
锹	(鍬)[鍫]
锻	(鍛)
镀	(鍍)
稳	(穩)
熏	[燻]
箩	(籮)
管	[筦]
箫	(簫)
舆	(輿)
膀	[髈]
鲜	(鮮)[尠尟鱻]
馒	(饅)
瘩	[𤺥]
辣	[辢]
旗	[旂]
弊	[𡚁]
潇	(瀟)
漱	[潄]
寨	[砦]
赛	(賽)
察	[詧]
谭	(譚)
谱	(譜)
嫩	[嫰]
凳	[櫈]
骡	(騾)[驘]
缩	(縮)
撵	(攆)
撑	[撐]
墩	[墪]
撰	[譔]
聪	(聰)
鞋	[鞵]
鞍	[鞌]
蕊	[蕋橤蘂]
蕴	(藴)
樱	(櫻)
